ID_Registro,ID_Condominio,Nome_Condominio,Data_Mes_Referencia,Receita_Bruta_Mensal,Receita_Liquida_Mensal,Total_Unidades,Unidades_Inadimplentes,Percentual_Inadimplencia,Total_Despesas_Mensal,Fluxo_de_Caixa_Mensal
1,502ac7fb-6345-4dbb-9d66-1a38e090ad43,Condomínio Borges Residence,2000-01,59922.450000000004,56397.600000000006,85,5,5.88,8264.36,48133.24
2,4b318b08-c374-4caf-b794-97f73f2d302d,Condomínio Machado Residence,2000-01,23883.719999999998,22462.07,84,5,5.95,4592.11,17869.96
3,25a3f974-4936-4e14-b233-c91f488a52e7,Condomínio Moreira Residence,2000-01,76090.05,62519.85,157,28,17.83,11521.52,50998.33
4,ca70cd5c-98e5-420b-817e-0d9154f63967,Condomínio Fonseca Residence,2000-01,43892.28,35806.86,76,14,18.42,5643.06,30163.8
5,7723aa4e-80bd-47f9-9f94-85a58682bcfa,Condomínio Gomes Residence,2000-01,64335.46,52451.84,157,29,18.47,9419.85,43031.99
6,0567bae3-1cdc-430c-be11-50e095cb9432,Condomínio Siqueira Residence,2000-01,84990.09999999999,70406.0,169,29,17.16,10291.24,60114.76
7,83428d4e-6dc2-4efc-b4d7-143589f87946,Condomínio Freitas Residence,2000-01,142811.46,124058.44,198,26,13.13,12219.49,111838.95
8,8202ccf4-a9d7-4275-b005-8c1f59996c30,Condomínio Fogaça Residence,2000-01,49693.0,47208.35,100,5,5.0,8003.87,39204.48
9,d3447539-8dbf-4bc5-8d9b-46012374ae1c,Condomínio Casa Grande Residence,2000-01,100866.98999999999,84398.90999999999,147,24,16.33,14405.22,69993.69
10,a6351593-4a2a-4d70-9384-39029662dcc9,Condomínio da Rosa Residence,2000-01,28648.32,24650.88,43,6,13.95,2734.48,21916.4
11,837a214a-f24e-46f2-856f-9331ff876072,Condomínio Ferreira Residence,2000-01,45965.15,39995.65,77,10,12.99,4707.85,35287.8
12,6e726857-07dc-453a-a8fc-4ab9031612b1,Condomínio Aragão Residence,2000-01,91412.09999999999,81567.72,130,14,10.77,13204.75,68362.97
13,7ae0abaf-2a80-449f-b116-d0f5462a1057,Condomínio Correia Residence,2000-01,97067.52,81395.16,192,31,16.15,11656.24,69738.92
14,3eef32ed-3c5b-4b2e-beef-5c36e7b4da8c,Condomínio Silva Residence,2000-01,57145.64,50748.74,134,15,11.19,6304.85,44443.89
15,d7450181-3b8b-4d1d-9200-84a710e44b85,Condomínio Fogaça Residence,2000-01,35397.0,32319.0,115,10,8.7,3912.82,28406.18
16,00addb44-8580-4116-a730-48ce88deb856,Condomínio Silveira Residence,2000-01,34025.12,29625.32,116,15,12.93,4635.93,24989.39
17,8c304bf1-67fc-4c63-b8ca-60329d25df09,Condomínio Rezende Residence,2000-01,67136.08,59838.68,184,20,10.87,10842.75,48995.93
